nome,grupo,afiliacao,anos_presente,n_anos
Sidnei Telles Filho,Público,CMM,"2021, 2022, 2023, 2024, 2025",5
Silvia Helena Podolan,Privado,COCAMAR,2025,1
Silvia Yukari Tabada,Privado,COCAMAR,2026,1
Susicley Jati,Academia,UEM,2022,1
Sônia Trannin de Mello,Academia,UEM,"2021, 2022",2
Telma Xavier do Nascimento,Público,SEDUC,2024,1
Thayssa Priscila C. Santos,Sociedade Civil,Instituto Cidade Canção,"2021, 2022",2
Thiago Romagnolo Alves,Sociedade Civil,OAB,2025,1
Valdirene Maria Nielsen de Castro,Público,SEDUC,2025,1
Vinicius Antônio Sanches Sismeiro,Público,SEURBH,"2024, 2025",2
Vitor Alécio Sevilha Gorzoni,Público,SANEPAR,"2021, 2022",2
Wesley Sanchez Pereira,Sociedade Civil,OAB,"2025, 2026",2
